Name,Location,CIR,Cr,Cu,As,Se,Cd,Sn,Pb,Rb,Ru,Cs,Ir,V,Co,Ag,Pt,Au,Tl, Li  ,Al,Ti,Ni,Sr,Mo,Rh,Sb,Te,Ba,Hg,Zn,Ca,Fe,K,Mn,Na,P,Mg,Sc,Y,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
ARG_37,ARG,-23.8892,0.393,25.055,0.234,1.839,0.014,0.073,0.844,1.422,0,0.021,0,0.282,0.068,1.25,0,0,0.004,0,4.834,3.691,0.091,8.804,0.235,0.001,0.04,0,2.544,0,3.25,11.93,3,219.41,23.6,62.87,130.16,15.3,0.143,0.03,0.069,0.066,0.007,0,0.015,0.017,0.002,0.004,0.012,0.007,0.008,0,0.01,0.003
ARG_39,ARG,-18.0607,0.375,10.909,0.722,3.633,0.024,0.021,0.304,2.4,0,0.058,0,0.395,0.06,1.611,0.056,0,0.002,0,15.297,5.19,0.037,10.316,0.245,0,0.014,0,2.571,0,4.74,17.04,2.9,317.51,12.45,74.59,169.26,20.04,0.061,0.03,0.037,0.019,0.008,0.027,0,0.002,0.002,0.002,0,0.003,0,0,0,0.002
ARG_40,ARG,-23.0893,0.43,25.096,0.195,1.685,0.017,0.041,0.252,1.466,0,0.025,0,0.107,0.036,0.628,0.144,0,0.004,0,6.844,4.037,0.233,10.019,0.174,0,0.032,0,2.588,0,3.23,11.54,2.99,199.2,28.52,53.96,124.32,14.37,0.167,0.009,0.022,0.033,0.017,0,0,0.01,0.022,0,0.022,0.003,0.015,0,0.009,0
ARG_41,ARG,-17.668,0.356,9.178,0.577,4.068,0.025,0.042,0.186,2.218,0,0.046,0,0.334,0.022,1.976,0.047,0,0.002,1.654,6.24,5.627,0.003,8.58,0.316,0.001,0.018,0,1.979,0,3.49,13.56,2.56,273.2,15.21,78.68,138.57,16.33,0.155,0.041,0.026,0.045,0.012,0.029,0,0.021,-0.002,0.002,0,0,0,0,0,0
ARG_42,ARG,-17.9402,0.393,12.346,0.496,3.756,0.021,0.037,0.23,2.258,0,0.044,0,0.431,0.03,0.922,0,0,0.003,0,5.032,3.781,0,10.261,0.337,0.002,0.033,0,2.452,0,4.68,13.73,2.64,274.45,14.75,72.21,147.93,16.46,0.135,0.085,0.149,0.124,0.018,0.078,0.014,0.042,0.011,0.004,0.006,0.012,0.016,0,0.013,0.002
ARG_221,ARG,-22.6598,0.514,18.391,0.195,3.897,0.008,0.039,0.111,8.957,0,0.268,0,0.03,0.124,3.175,0.047,0,0.003,0,2.817,4.934,0.037,5.735,0.108,0,0.012,0,1.417,0,4.19,12,3.07,249.75,21.96,57.87,148.52,17.31,0.234,0.018,0.013,0.018,0,0,0.007,0.004,0.001,0.003,0,0,0.004,0.001,0.003,0
ARG_111,ARG,-18.4365,0.428,6.182,0.604,1.08,0.016,0.01,0.159,2.26,0,0.028,0,0.035,0.088,0.787,0.05,0,0.003,1.431,4.102,3.339,0.176,6.104,0.055,0.002,0.017,0,1.831,0,4.25,9.78,1.74,191.19,14.36,36.3,104.73,12.85,0.376,0.062,0.072,0.081,0.017,0.085,0.027,0.015,0.005,0.003,0.005,0.001,0.01,0.001,0,0.001
ARG_112,ARG,-19.5218,0.456,21.507,0.706,1.567,0.023,0.015,0.14,2.771,0,0.045,0,0.012,0.087,1.625,0,0,0.002,1.642,4.406,4.107,0.133,5.451,0.022,0,0.031,0,1.781,0,2.53,7.68,2.01,208.86,22.48,29.79,140.2,16.11,0.162,0.064,0.012,0.039,0.017,0.037,0,0.012,-0.003,0.002,0.016,0,0,0.001,0.006,0
ARG_113,ARG,-18.563,0.232,7.607,0.114,1.981,0.034,0.054,0.399,5.246,0,0.12,0,0.007,0.07,0.638,0,0.082,0.002,0,8.599,3.467,0.2,9.733,0.056,0,0.053,0,3.269,0,3.71,10.55,1.79,152.97,31.26,35.04,84.76,11.29,0.446,0.058,0.067,0.065,0.022,0.052,0.015,0.01,0.026,0,0.011,0.001,0.004,0,0.003,0
ARG_115,ARG,-20.333,0.575,14.674,0.188,3.139,0.025,0.008,0.181,9.056,0.001,0.262,0.036,0.003,0.073,0.267,0.065,0,0.001,0,0.901,6.411,0.029,4.457,0.041,0,0.031,0,1.322,0,4.12,8.05,3.01,286.2,17.32,42.01,169.33,20.12,0.019,0.085,0.158,0.102,0.004,0.025,0.007,0.014,0.001,0.005,0,0.001,0.007,0.001,0.006,0.005
ARG_116,ARG,-20.8,0,0,0,0,0,0,0,2.996,0,0.094,0.034,0.02,0.03,1.395,0.064,0,0,0,0,0.663,0.015,4.75,0.008,0,0.01,0.033,1.503,0,1.33,6.65,1.01,124.53,8.73,27.59,64.08,8.66,0.071,0.032,-0.008,0.014,0.004,0,0,0.01,0.012,0.002,0,0.001,0,0,0,0
ARG_117,ARG,-16.2468,0.469,5.454,0.132,1.652,0.024,0.048,0.376,3.884,0,0.088,0,0.042,0.037,1.309,0.238,0,0,1.574,21.492,1.786,0.151,6.813,0.045,0,0.028,0,2.168,0,1.94,8.77,2.05,141.13,20.95,30.51,68.4,8.32,0.344,0,0.011,-0.005,0,0.034,0,0.005,0.003,0,0,0.001,0,0.002,0,0
ARG_118,ARG,-19.2312,0.417,14.101,1.124,3.038,0.082,0.027,0.255,4.368,0,0.063,0,0.04,0.08,1.088,0.193,0,0.003,0,3.968,5.387,1.671,5.175,0.042,0,0.027,0,1.4,0.011,6.25,8.68,2.58,300.21,15.86,47.72,164.78,20.2,0.138,0.125,0.517,0.073,0.03,0.132,0.014,0.022,0.049,0.011,0.028,0.004,0.024,0.003,0.013,0.003
ARG_119,ARG,-20.9556,0.358,11.744,0.102,3.644,0.021,0.051,0.086,7.209,0,0.167,0,0.028,0.078,0.511,0.188,0.087,0,0,0,4.688,0,4.968,0.065,0,0.012,0,1.498,0,4.74,7.79,2.23,212.2,13.13,46.58,122.68,14.43,0.352,0.064,0.121,0.22,0.035,0.039,0.042,0.036,0.031,0.007,0.005,0.002,0.017,0.001,0.006,0.001
ARG_120,ARG,-21.1988,0.532,8.286,0.15,3.171,0.012,0.037,0.103,5.634,0,0.117,0,0.011,0.074,1.369,0.089,0.084,0,0,1.537,2.959,0.084,4.698,0.048,0,0.033,0,2.171,0,4.25,7.68,3.05,168.02,16.61,36.24,91.11,11.13,0.376,0.039,0.089,0.081,0.022,0.054,0,0.013,0.013,0.006,0.005,0.002,0.007,0,0.008,0
ARG_121,ARG,-17.7012,0.259,6.937,0.161,0.98,0.021,0.016,0.175,4.884,0,0.058,0,0.012,0.034,0.344,0.098,0,0.001,0,0,2.386,0.175,4.964,0.019,0,0.024,0,1.824,0,2.06,9.68,2.47,210.82,16.87,37.81,113.25,13.46,0.1,0.03,0.014,0.043,0,0,0,0.009,0.002,0,0.011,0,0,0.001,0,0.002
ARG_125,ARG,-20.82,0.631,21.024,0.19,6.734,0.025,0.022,0.189,9.652,0,0.287,0,0.014,0.085,0.947,0.101,0,0,0,2.49,4.059,0,4.657,0.042,0,0.016,0,1.298,0,4.48,7.88,2.91,254.39,17.33,39.77,157.23,18.75,0.273,0.038,0.032,0.045,0.003,0.076,0.007,0.01,0.001,0.003,0.02,0,0.007,0.001,0.006,0
ARG_219,ARG,-21.2878,0.321,7.861,0.414,1.671,0.011,0.046,0.216,3.974,0,0.055,0,0.027,0.04,0.887,0.054,0.097,0,2.778,1.76,2.5,0.072,7.708,0.025,0.001,0.026,0,2.035,0,4.04,11.3,2.68,216.71,19.26,41.43,110.14,14.14,0.099,0.049,0.025,0.059,0.004,0,0,0.006,-0.003,0.002,0,0,0.011,0.001,0,0.001
ARG_220,ARG,-14.9068,0.599,14.964,0.738,2.358,0.02,0.052,0.56,4.531,0,0.196,0,0.025,0.089,0.921,0,0,0,0,3.138,3.791,0.127,5.987,0.076,0,0.016,0,1.315,0,5.7,8.77,3.58,283.37,23.64,58.52,150.01,19.27,0.314,0.009,0.002,0.003,0,0.013,0,0.002,-0.003,0.002,0.005,0,0,0.001,0,0
